site_id,file,line,component,task,wave,target,status,behavior_record,evidence,kind,owner,fingerprint
INP-001,src/capabilities/chores/components/ChoreEditorDrawer.tsx,232,Input,04,Representative native pilots,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Chore title; parent ChoreDraft onChange; autofocus only on create; title.trim gates explicit Add/Save chore footer; no blur save; full-height BottomDrawer resize host.,Initial iOS pilot: native-chore-resting.png; full native matrix still open.,shared-input,ChoreEditorDrawer,b2e25f614d28bd134f8a4b1f
INP-002,src/capabilities/chores/components/ChoreEditorDrawer.tsx,241,SmallSetPickerField,04,Representative native pilots,Owned picker trigger using shared input material,implemented-awaiting-native,Assignee choice; household sentinel maps to null in parent draft; no deselect; compact row; explicit outer Add/Save persists.,Initial iOS pilot: native-chore-resting.png; first-tap assignee opening from keyboard; full native matrix still open.,shared-input,ChoreEditorDrawer,e69d8ef6eeee0aed6fb0896a
INP-003,src/capabilities/chores/components/ChoreEditorDrawer.tsx,257,PickerFieldTrigger,04,Representative native pilots,Owned picker trigger using shared input material,implemented-awaiting-native,Repeat trigger opens ActivityRepeatSheets; no deselect; selected label summarizes rule; parent ChoreDraft retained; outer Add/Save persists.,Initial iOS pilot: native-chore-resting.png; full native matrix still open.,shared-input,ChoreEditorDrawer,7beab7e5061d031dd684ce12
INP-004,src/capabilities/chores/components/ChoreEditorDrawer.tsx,271,SmallSetPickerField,04,Representative native pilots,Owned picker trigger using shared input material,implemented-awaiting-native,Missed-repeat basis; shown only with repeat rule; immediate local draft choice; no deselect; outer Add/Save persists.,Initial iOS pilot: native-chore-resting.png; full native matrix still open.,shared-input,ChoreEditorDrawer,1e9faaa76a4962b867dba161
INP-005,src/capabilities/chores/components/ChoreEditorDrawer.tsx,287,Input,04,Representative native pilots,Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,Definition-of-done paragraph; parent draft onChange; newline retained; 92-150 height bounds; explicit outer Add/Save persists; BottomDrawer resize host.,Initial iOS pilot: native-chore-keyboard.png; full native matrix still open.,shared-input,ChoreEditorDrawer,a6bc27336cc71a54df4c971c
INP-006,src/capabilities/chores/components/ChoreEditorDrawer.tsx,318,SmallSetPickerField,04,Representative native pilots,Owned picker trigger using shared input material,implemented-awaiting-native,Token reward; shown when tokens enabled; numeric option parses through Number into parent draft; no deselect; outer Add/Save persists.,Shared treatment opted in; focused pilot suites pass (53 tests); native acceptance in progress.,shared-input,ChoreEditorDrawer,89e28a4e4f97c9df48de76ed
INP-007,src/capabilities/chores/components/ChoreReviewDrawer.tsx,168,Input,05,"Account, household, Plan and remaining forms",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Optional review note; local note reset when drawer closes or selected occurrence disappears; request another look sends trimmed note or null, approval ignores it; no blur save; existing BottomDrawer extend and scroll host retained.",Task05 source opt-in; 5 focused suites / 58 tests pass in kwilt-account-input-focused.log; native and broader accessibility acceptance remain open.,shared-input,ChoreReviewDrawer,d1d9f0bd3aa01e8084113c5a
INP-008,src/capabilities/chores/components/ChoreSettingsDrawer.tsx,73,Input,05,"Account, household, Plan and remaining forms",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Reward exchange rate; local decimal draft, positive cents with at most two decimals; explicit Save enabled only for valid changed value; decimal keyboard and Done retained; existing drawer host retained.",Task05 source opt-in; 5 focused suites / 58 tests pass in kwilt-account-input-focused.log; native and broader accessibility acceptance remain open.,shared-input,ChoreSettingsDrawer,a8a08c8758af249f57a6948f
INP-009,src/capabilities/explore/screens/ExploreMapScreen.tsx,1110,SearchField,07,"Money, Explore and Games",SearchField composition; preserve query and clear semantics,implemented-awaiting-native,"Visited Places search; shared SearchField replaces icon/raw-text/custom shell. Existing local trimmed locale-insensitive saved-place filter retained; clear only resets/refocuses query, selected result still owns map centering. Nearby search, map and drawer host unchanged.","Scoped gate passes: 10 suites / 108 tests, app/test types, code health and whitespace in kwilt-games-explore-local.log; direct input policy passes; native acceptance remains open.",shared-input,ExploreMapScreen,c340de5d445cc81f0b8ef67a
INP-010,src/capabilities/explore/screens/ExploreMapScreen.tsx,1151,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Place name; controlled local draft, autofocus, max160 and Done/Save handler retained. Handler requires latest point and trimmed name, records visit at that point and clears/closes; existing downstream sharing choice unchanged. No actual place created during verification.",Post-default iOS native drawer: long draft ending caret and Cancel/Save above alphabetic and taller emoji keyboards; empty draft disables Save; first-tap Cancel closes. native-place-name-long.png and native-place-name-emoji.png. No Place saved; persistence/assistive/platform matrix remains open.,shared-input,ExploreMapScreen,e26b94f66bdd86b525be554d
INP-011,src/capabilities/games/features/connection-games/PromptConnectionGames.tsx,29,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Common Thread answer; shared named multiline92-120 field, max80 and local answer retained. We found one reveals trimmed answer only in local game; New pair clears answer/sharedAnswer and advances prompt/player. No remote publishing added.","Scoped gate passes: 10 suites / 108 tests, app/test types, code health and whitespace in kwilt-games-explore-local.log; direct input policy passes; native acceptance remains open.",shared-input,CommonThreadGame,f045fceb73ee61dccfd4c9c7
INP-012,src/capabilities/games/features/remote/JoinTableDrawer.tsx,219,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Join player name; shared Input preserves native ref, word capitalization, no autocorrect, max18 and name-help clearing. Return joins by token only when existing canJoinToken permits; no automatic join on typing.","Scoped gate passes: 10 suites / 108 tests, app/test types, code health and whitespace in kwilt-games-explore-local.log; direct input policy passes; native acceptance remains open. Native code/name focus, required-value gating, and alphabetic/emoji clearance with fixed Join action verified; see native-games-code-resize.png and native-games-name-emoji.png. No table joined; broader native matrix remains open.",shared-input,JoinTableDrawer,90b89b9748a346b3bd7131ec
INP-013,src/capabilities/games/features/remote/JoinTableDrawer.tsx,239,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Join code; shared Input preserves uppercase keyboard, no autocorrect, max8, normalized cleanCode and existing canJoinCode guard. Go invokes existing explicit join path. Code grouping/case logic unchanged; obsolete display-font textbox styling removed.","Scoped gate passes: 10 suites / 108 tests, app/test types, code health and whitespace in kwilt-games-explore-local.log; direct input policy passes; native acceptance remains open. Native code/name focus, required-value gating, and alphabetic/emoji clearance with fixed Join action verified; see native-games-code-resize.png and native-games-name-emoji.png. No table joined; broader native matrix remains open.",shared-input,JoinTableDrawer,ebad6ce446e9c71d2522650e
INP-014,src/capabilities/games/features/setup/GamePlayerSetup.tsx,154,Input,07,"Money, Explore and Games",Input filled for ordinary entry; classify structured/inline exceptions before edit,implemented-awaiting-native,"Setup player name; shared Input owns one field with existing Remove action in trailing slot. Stable seat key, max18, saved/profile identity clearing on rename and min-player removal guard retained. Start/remote actions remain separate.","Scoped gate passes: 10 suites / 108 tests, app/test types, code health and whitespace in kwilt-games-explore-local.log; direct input policy passes; native acceptance remains open.",shared-input,GamePlayerSetup,410c3cf47f1793a878f8aaff
