file,line,token,owner,disposition,reason,classification,source_evidence
src/ui/InlineClearButton.tsx,46,fieldFillPressed,pressed,Preserve legacy surface role,"Retain this clear-button pressed surface; it is an action target, not the text field fill.",input-clear-action,src/ui/InlineClearButton.tsx#pressed
src/ui/StreakCapsule.tsx,80,fieldFill,capsule,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/ui/StreakCapsule.tsx#capsule
src/features/onboarding/SignInInterstitial.tsx,537,fieldFill,errorContainer,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/onboarding/SignInInterstitial.tsx#errorContainer
src/capabilities/groceries/components/KrogerStoreFinder.tsx,334,fieldFill,previewedStore,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/groceries/components/KrogerStoreFinder.tsx#previewedStore
src/capabilities/groceries/components/KrogerStoreFinder.tsx,337,fieldFill,pressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/groceries/components/KrogerStoreFinder.tsx#pressed
src/capabilities/groceries/components/RetailerPreferenceList.tsx,117,fieldFill,rowActive,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/groceries/components/RetailerPreferenceList.tsx#rowActive
src/capabilities/groceries/components/RetailerPreferenceList.tsx,132,fieldFillPressed,pressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/groceries/components/RetailerPreferenceList.tsx#pressed
src/features/safety/UgcReportDrawer.tsx,193,fieldFillPressed,reasonSelected,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/features/safety/UgcReportDrawer.tsx#reasonSelected
src/features/account/SuperAdminToolsScreen.tsx,1555,fieldFill,freeBadge,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/account/SuperAdminToolsScreen.tsx#freeBadge
src/features/account/SuperAdminToolsScreen.tsx,1726,fieldFill,metricsTimePeriodDropdown,Migrate with owning feature,Review this existing selected-value/tag/location trigger with the owning feature; migrate field material without replacing choice or inline semantics.,choice-trigger,src/features/account/SuperAdminToolsScreen.tsx#metricsTimePeriodDropdown
src/features/account/EmailPasswordSignInForm.tsx,164,fieldFill,errorContainer,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/features/account/EmailPasswordSignInForm.tsx#errorContainer
src/capabilities/money/components/MoneyCategoryReorderDrawer.tsx,214,fieldFill,rowActive,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/money/components/MoneyCategoryReorderDrawer.tsx#rowActive
src/capabilities/money/components/MoneyCategoryReorderDrawer.tsx,217,fieldFillPressed,dragHandlePressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/money/components/MoneyCategoryReorderDrawer.tsx#dragHandlePressed
src/capabilities/meal-planning/components/MealFitCallout.tsx,45,fieldFill,unknown,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/meal-planning/components/MealFitCallout.tsx#unknown
src/capabilities/meal-planning/components/MealOccasionDrawer.tsx,86,fieldFill,people,Preserve legacy surface role,Retain grouped people/options/switch rows; native selection behavior and its group surface are separate from text field material.,native-choice-group,src/capabilities/meal-planning/components/MealOccasionDrawer.tsx#people
src/capabilities/groceries/screens/OnlineShoppingSetupScreen.tsx,340,fieldFill,fulfillmentChoiceSelected,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/groceries/screens/OnlineShoppingSetupScreen.tsx#fulfillmentChoiceSelected
src/capabilities/meal-planning/components/MealPlanningReminderOfferDrawer.tsx,89,fieldFill,options,Preserve legacy surface role,Retain grouped people/options/switch rows; native selection behavior and its group surface are separate from text field material.,native-choice-group,src/capabilities/meal-planning/components/MealPlanningReminderOfferDrawer.tsx#options
src/capabilities/meal-planning/components/MealPlanningReminderOfferDrawer.tsx,93,fieldFill,day,Preserve legacy surface role,Retain selection/reorder/chip state; it communicates a choice or drop destination rather than text entry.,selection-state,src/capabilities/meal-planning/components/MealPlanningReminderOfferDrawer.tsx#day
src/capabilities/money/components/MoneyPlanLimitAnswer.tsx,178,fieldFill,answerCardNeutral,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/money/components/MoneyPlanLimitAnswer.tsx#answerCardNeutral
src/capabilities/money/components/MoneyPlanLimitAnswer.tsx,195,fieldFillPressed,explainActionPressed,Preserve legacy surface role,Retain existing action/pressed treatment; changing the input token must not restyle buttons or row interactions.,action-state,src/capabilities/money/components/MoneyPlanLimitAnswer.tsx#explainActionPressed
src/capabilities/meal-planning/screens/MealChoiceResponseScreen.tsx,205,fieldFill,imagePlaceholder,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/meal-planning/screens/MealChoiceResponseScreen.tsx#imagePlaceholder
src/capabilities/meal-planning/screens/MealChoiceResponseScreen.tsx,211,fieldFill,notice,Preserve legacy surface role,"Retain noneditable badge, notice, card, list, attachment or evidence surface. No input migration is implied by this token name.",content-surface,src/capabilities/meal-planning/screens/MealChoiceResponseScreen.tsx#notice
