file,line,component,from,variant,elevation,surfaceVariant,label,placeholder,multiline,keyboardType,containerStyle,inputStyle,style
"src/capabilities/chores/components/ChoreEditorDrawer.tsx","232","Input","../../../ui/Input","outline","flat","","Chore","","","","","",""
"src/capabilities/chores/components/ChoreEditorDrawer.tsx","243","SmallSetPickerField","../../../ui/PickerFields","","","","","Household","","","","",""
"src/capabilities/chores/components/ChoreEditorDrawer.tsx","259","PickerFieldTrigger","../../../ui/PickerFields","","","","","One time","","","","",""
"src/capabilities/chores/components/ChoreEditorDrawer.tsx","273","SmallSetPickerField","../../../ui/PickerFields","","","","","Start fresh next time","","","","",""
"src/capabilities/chores/components/ChoreEditorDrawer.tsx","289","Input","../../../ui/Input","outline","flat","","What done looks like","A short, clear finish line","true","","","",""
"src/capabilities/chores/components/ChoreEditorDrawer.tsx","322","SmallSetPickerField","../../../ui/PickerFields","","","","","1 token","","","","",""
"src/capabilities/chores/components/ChoreReviewDrawer.tsx","168","Input","../../../ui/Input","outline","flat","","Note (optional)","What should they take another look at?","true","","","",""
"src/capabilities/chores/components/ChoreSettingsDrawer.tsx","73","Input","../../../ui/primitives","","","","Dollars per token","","","decimal-pad","","",""
"src/capabilities/explore/screens/ExploreMapScreen.tsx","1110","TextInput","react-native","","","","","Search places you’ve visited","","","","","styles.placeSearchInput"
"src/capabilities/explore/screens/ExploreMapScreen.tsx","1153","TextInput","react-native","","","","","Home, park, trail…","","","","","styles.placeInput"
"src/capabilities/games/features/connection-games/PromptConnectionGames.tsx","28","TextInput","react-native","","","","","The connection we chose…","true","","","","[shared.input, shared.multiline]"
"src/capabilities/games/features/remote/JoinTableDrawer.tsx","208","TextInput","react-native","","","","","Olive","","","","","styles.input"
"src/capabilities/games/features/remote/JoinTableDrawer.tsx","233","TextInput","react-native","","","","","W7K-4JP","","","","","[styles.input, styles.codeInput]"
"src/capabilities/games/features/setup/GamePlayerSetup.tsx","154","TextInput","react-native","","","","","mode === 'remote-only' ? 'Your name' : `Player ${index + 1}`","","","","","styles.input"
